"","square1","square2","square3","room","type_house","state","value","currency","dist"
"1302","45","27","8","2","panel","good","54000","$","Dneprovsky"
"1303","50","27","12","1","monolyth_concrete","euro","55800","$","Darnitsky"
"1304","39","18","13","1","monolyth_concrete","euro","58300","$","Sviatoshynsky"
"1305","79","53","8","3","ukrainian_brick","good","71000","$","Shevchenkovsky"
"1306","80","46","12","3","","from_builders(planirovka)","114000","$","Shevchenkovsky"
"1307","70","48","8","3","panel","good","56000","$","Dneprovsky"
"1308","61","44","7","3","old_brick","good","57000","$","Dneprovsky"
"1309","160","88","16","4","monolyth_concrete","euro","2300","$","Pechersky"
"1310","70","30","25","2","ukrainian_brick","from_builders(otdelka)","122000","$","Pechersky"
"1311","118","55","18","3","ukrainian_brick","cosmetic_repair_needed","138000","$","Shevchenkovsky"
"1312","42","16","15","1","monolyth_concrete","repair_unfinished","60500","$","Holosiivsky"
"1313","31","18","7","1","old_brick","good","35000","$","Holosiivsky"
"1314","71","17","36","2","monolyth_concrete","euro","220000","$","Pechersky"
"1315","56","27","20","2","monolyth_concrete","euro","81500","$","Darnitsky"
"1316","52","30","8","2","panel","good","44000","$","Podolsky"
"1317","28","15","6","1","old_brick","good","30000","$","Podolsky"
"1318","36","20","8","1","panel","good","34000","$","Obolon"
"1319","73","43","9","3","panel","good","52000","$","Podolsky"
"1320","120","69","15","3","","from_builders(otdelka)","105999","$","Darnitsky"
"1321","33","16","6","1","","cosmetic_repair_needed","40000","$","Solomensky"
"1322","51","19","15","1","monolyth_concrete","euro","60000","$","Desniansky"
"1323","45","20","10","1","","euro","145000","$","Pechersky"
"1324","70","46","7","2","Stalinka","euro","160000","$","Pechersky"
"1325","42","26","7","2","panel","euro","47000","$","Dneprovsky"
"1326","64","42","8","3","panel","cosmetic_repair_needed","60000","$","Obolon"
"1327","220","160","20","4","before_revolution","euro","649999","$","Pechersky"
"1328","89","60","20","3","ukrainian_brick","from_builders(planirovka)","69000","$","Dneprovsky"
"1329","108","60","20","3","ukrainian_brick","from_builders(planirovka)","69000","$","Dneprovsky"
"1330","68","42","8","3","panel","good","50000","$","Sviatoshynsky"
"1331","52","30","8","2","panel","good","44000","$","Podolsky"
"1332","332","300","32","5","Stalinka","euro","490000","$","Pechersky"
"1333","39","19","9","1","ukrainian_brick","euro","37900","$","Darnitsky"
"1334","114","57","17","3","ukrainian_brick","euro","162000","$","Shevchenkovsky"
"1335","130","41","16","4","ukrainian_brick","euro","153000","$","Shevchenkovsky"
"1336","120","66","16","3","ukrainian_brick","euro","175000","$","Shevchenkovsky"
"1337","130","78","27","3","ukrainian_brick","euro","177000","$","Shevchenkovsky"
"1338","107","60","40","3","ukrainian_brick","euro","195000","$","Solomensky"
"1339","133","63","20","4","ukrainian_brick","from_builders(planirovka)","186000","$","Solomensky"
"1340","104","54","13","3","ukrainian_brick","euro","172000","$","Solomensky"
"1341","90","53","20","3","before_revolution","euro","220000","$","Pechersky"
"1342","129","100","20","3","ukrainian_brick","euro","159000","$","Solomensky"
"1343","140","100","20","3","ukrainian_brick","from_builders(planirovka)","160000","$","Solomensky"
"1344","85","48","10","3","ukrainian_brick","good","75000","$","Dneprovsky"
"1345","86","48","10","3","ukrainian_brick","good","83000","$","Dneprovsky"
"1346","95","65","10","4","ukrainian_brick","good","99000","$","Dneprovsky"
"1347","125","78","18","3","ukrainian_brick","euro","170000","$","Obolon"
"1348","148","86","18","4","ukrainian_brick","euro","245000","$","Obolon"
"1349","70","36","11","2","monolyth_concrete","euro","114000","$","Holosiivsky"
"1350","71","36","11","2","monolyth_concrete","euro","115000","$","Holosiivsky"
"1351","50","20","14","1","monolyth_concrete","euro","82000","$","Holosiivsky"
"1352","35","19","7","1","","satisfactory","31500","$","Solomensky"
"1353","51","32","8-May","2","Stalinka","cosmetic_repair_needed","47000","$","Shevchenkovsky"
"1354","66","34","14","2","monolyth_concrete","euro","109500","$","Shevchenkovsky"
"1355","75","43","10","3","ukrainian_panel","good","45000","$","Darnitsky"
"1356","43","18","9","1","ukrainian_panel","from_builders(otdelka)","43000","$","Darnitsky"
"1357","100","46","16","2","ukrainian_brick","euro","135000","$","Shevchenkovsky"
"1358","53","32","8","2","Stalinka","euro","82500","$","Pechersky"
"1359","179","100","18","4","monolyth_concrete","from_builders(planirovka)","232700","$","Holosiivsky"
"1360","48","18","16","1","monolyth_concrete","euro","145000","$","Pechersky"
"1361","72","46","9","2","Stalinka","good","154999","$","Pechersky"
"1362","50","14","22","1","monolyth_concrete","euro","147000","$","Pechersky"
"1363","64","34","12","2","ukrainian_brick","euro","76000","$","Obolon"
"1364","216","140","14","4","ukrainian_brick","euro","1050000","$","Shevchenkovsky"
"1365","67","35","15","2","monolyth_concrete","euro","100000","$","Shevchenkovsky"
"1366","46","35","11","1","ukrainian_brick","euro","83900","$","Shevchenkovsky"
"1367","33","19","6","1","old_brick","serious_repair_needed","25900","$","Solomensky"
"1368","62","39","7","3","panel","good","48000","$","Obolon"
"1369","40","15","15","1","monolyth_concrete","serious_repair_needed","47000","$","Holosiivsky"
"1370","90","50","15","3","ukrainian_brick","euro","83000","$","Desniansky"
"1371","130","60","50","4","monolyth_concrete","euro","585000","$","Pechersky"
"1372","109","62","16","3","monolyth_concrete","euro","280000","$","Obolon"
"1373","147","65","20","3","ukrainian_brick","euro","580000","$","Obolon"
"1374","165","86","40","4","ukrainian_brick","euro","420000","$","Obolon"
"1375","92","45","25","2","monolyth_concrete","euro","260000","$","Obolon"
"1376","31","12","10","1","ukrainian_brick","from_builders(planirovka)","19999","$","Solomensky"
"1377","81","45","14","3","ukrainian_brick","from_builders(planirovka)","45000","$","Solomensky"
"1378","248","170","28","5","ukrainian_brick","euro","1200000","$","Obolon"
"1379","165","77","55","4","monolyth_concrete","euro","630000","$","Obolon"
"1380","53","30","9","2","Stalinka","euro","59000","$","Solomensky"
"1381","92","46","14","3","ukrainian_panel","good","62000","$","Desniansky"
